MoleculeType	Identifier	MoleculeName	
Proteins	O43665	UniProt:O43665 RGS10	
Proteins	O43566	UniProt:O43566 RGS14	
Proteins	P49802	UniProt:P49802 RGS7	
Proteins	Q2M5E4	UniProt:Q2M5E4 RGS21	
Proteins	Q08116	UniProt:Q08116 RGS1	
Proteins	P57771	UniProt:P57771 RGS8	
Proteins	O75916	UniProt:O75916 RGS9	
Proteins	O14921	UniProt:O14921 RGS13	
Proteins	Q9NS28	UniProt:Q9NS28 RGS18	
Proteins	P12271	UniProt:P12271 RLBP1	
Proteins	P10745	UniProt:P10745 RBP3	
Proteins	O75911	UniProt:O75911 DHRS3	
Proteins	Q6E213	UniProt:Q6E213 AWAT2	
Proteins	Q9BX79	UniProt:Q9BX79 STRA6	
Proteins	P02766	UniProt:P02766 TTR	
Proteins	P02753	UniProt:P02753 RBP4	
Proteins	Q8NEX9	UniProt:Q8NEX9 SDR9C7	
Proteins	O14756	UniProt:O14756 HSD17B6	
Proteins	O75452	UniProt:O75452 RDH16	
Proteins	Q9BPW9	UniProt:Q9BPW9 DHRS9	
Proteins	Q92781	UniProt:Q92781 RDH5	
Proteins	P14061	UniProt:P14061 HSD17B1	
Proteins	Q9NYR8	UniProt:Q9NYR8 RDH8	
Proteins	Q16518	UniProt:Q16518 RPE65	
Proteins	Q13402	UniProt:Q13402 MYO7A	
Proteins	Q96NR8	UniProt:Q96NR8 RDH12	
Proteins	P78363	UniProt:P78363 ABCA4	
Proteins	Q6ZWL3	UniProt:Q6ZWL3 CYP4V2	
Proteins	Q8TC12	UniProt:Q8TC12 RDH11	
Proteins	Q8IZV5	UniProt:Q8IZV5 RDH10	
Proteins	P09455	UniProt:P09455 RBP1	
Proteins	O95237	UniProt:O95237 LRAT	
Proteins	Q6IQ20	UniProt:Q6IQ20 NAPEPLD	
Proteins	O60218	UniProt:O60218 AKR1B10	
Proteins	P42330	UniProt:P42330 AKR1C3	
Proteins	P17516	UniProt:P17516 AKR1C4	
Proteins	Q04828	UniProt:Q04828 AKR1C1	
Proteins	P50120	UniProt:P50120 RBP2	
Proteins	P02649	UniProt:P02649 APOE	
Proteins	Q8N158	UniProt:Q8N158 GPC2	
Proteins	O00468	UniProt:O00468 AGRN	
Proteins	O75487	UniProt:O75487 GPC4	
Proteins	P31431	UniProt:P31431 SDC4	
Proteins	P51654	UniProt:P51654 GPC3	
Proteins	O75056	UniProt:O75056 SDC3	
Proteins	P35052	UniProt:P35052 GPC1	
Proteins	Q9Y625	UniProt:Q9Y625 GPC6	
Proteins	P34741	UniProt:P34741 SDC2	
Proteins	P98160	UniProt:P98160 HSPG2	
Proteins	P78333	UniProt:P78333 GPC5	
Proteins	P18827	UniProt:P18827 SDC1	
Proteins	P02655	UniProt:P02655 APOC2	
Proteins	P02652	UniProt:P02652 APOA2	
Proteins	P06727	UniProt:P06727 APOA4	
Proteins	P02656	UniProt:P02656 APOC3	
Proteins	P02647	UniProt:P02647 APOA1	
Proteins	P04114	UniProt:P04114 APOB	
Proteins	P16233	UniProt:P16233 PNLIP	
Proteins	P04118	UniProt:P04118 CLPS	
Proteins	Q6P1J6	UniProt:Q6P1J6 PLB1	
Proteins	Q9BYV7	UniProt:Q9BYV7 BCO2	
Proteins	O95445	UniProt:O95445 APOM	
Proteins	Q9HAY6	UniProt:Q9HAY6 BCO1	
Proteins	P06858	UniProt:P06858 LPL	
Proteins	Q8IV16	UniProt:Q8IV16 GPIHBP1	
Proteins	P01130	UniProt:P01130 LDLR	
Proteins	Q9Y561	UniProt:Q9Y561 LRP12	
Proteins	Q7Z4F1	UniProt:Q7Z4F1 LRP10	
Proteins	Q07954	UniProt:Q07954 LRP1	
Proteins	P98164	UniProt:P98164 LRP2	
Proteins	Q14114	UniProt:Q14114 LRP8	
Proteins	Q6NUM9	UniProt:Q6NUM9 RETSAT	
Proteins	O60551	UniProt:O60551 NMT2	
Proteins	P30419	UniProt:P30419 NMT1	
Proteins	P10523	UniProt:P10523 SAG	
Proteins	P49354	UniProt:P49354 FNTA	
Proteins	P49356	UniProt:P49356 FNTB	
Proteins	Q02846	UniProt:Q02846 GUCY2D	
Proteins	P51841	UniProt:P51841 GUCY2F	
Proteins	Q9UMX6	UniProt:Q9UMX6 GUCA1B	
Proteins	P43080	UniProt:P43080 GUCA1A	
Proteins	O95843	UniProt:O95843 GUCA1C	
Proteins	Q8WTQ7	UniProt:Q8WTQ7 GRK7	
Proteins	P32298-1	UniProt:P32298-1 GRK4	
Proteins	Q15835	UniProt:Q15835 GRK1	
Proteins	P35243	UniProt:P35243 RCVRN	
Proteins	O14829	UniProt:O14829 PPEF1	
Proteins	Q14028	UniProt:Q14028 CNGB1	
Proteins	P29973	UniProt:P29973 CNGA1	
Proteins	P0DP23	UniProt:P0DP23 CALM1	
Proteins	P18545	UniProt:P18545 PDE6G	
Proteins	P16499	UniProt:P16499 PDE6A	
Proteins	P35913	UniProt:P35913 PDE6B	
Proteins	O14775-1	UniProt:O14775-1 GNB5	
Proteins	O75916-3	UniProt:O75916-3 RGS9	
Proteins	Q6ZS82	UniProt:Q6ZS82 RGS9BP	
