MoleculeType	Identifier	MoleculeName	
Proteins	Q9Y4D1	UniProt:Q9Y4D1 DAAM1	
Proteins	P61586	UniProt:P61586 RHOA	
Proteins	Q01973	UniProt:Q01973 ROR1	
Proteins	Q01974	UniProt:Q01974 ROR2	
Proteins	Q96CW1	UniProt:Q96CW1 AP2M1	
Proteins	O94973	UniProt:O94973 AP2A2	
Proteins	O95782	UniProt:O95782 AP2A1	
Proteins	P63010	UniProt:P63010 AP2B1	
Proteins	P53680	UniProt:P53680 AP2S1	
Proteins	P09497	UniProt:P09497 CLTB	
Proteins	P09496	UniProt:P09496 CLTA	
Proteins	Q00610	UniProt:Q00610 CLTC	
Proteins	P60763	UniProt:P60763 RAC3	
Proteins	P15153	UniProt:P15153 RAC2	
Proteins	P63000	UniProt:P63000 RAC1	
Proteins	P32121	UniProt:P32121 ARRB2	
Proteins	P05129	UniProt:P05129 PRKCG	
Proteins	P05771	UniProt:P05771 PRKCB	
Proteins	P07737	UniProt:P07737 PFN1	
Proteins	P63208	UniProt:P63208 SKP1	
Proteins	Q13616	UniProt:Q13616 CUL1	
Proteins	Q9UGI0	UniProt:Q9UGI0 ZRANB1	
Proteins	Q08117	UniProt:Q08117 TLE5	
Proteins	P56545	UniProt:P56545 CTBP2	
Proteins	Q93097	UniProt:Q93097 WNT2B	
Proteins	O14905	UniProt:O14905 WNT9B	
Proteins	Q9UBV4	UniProt:Q9UBV4 WNT16	
Proteins	Q9GZT5	UniProt:Q9GZT5 WNT10A	
Proteins	P09544	UniProt:P09544 WNT2	
Proteins	O00744	UniProt:O00744 WNT10B	
Proteins	O00755	UniProt:O00755 WNT7A	
Proteins	Q9Y6F9	UniProt:Q9Y6F9 WNT6	
Proteins	P56706	UniProt:P56706 WNT7B	
Proteins	Q5T9L3	UniProt:Q5T9L3 WLS	
Proteins	Q9H237	UniProt:Q9H237 PORCN	
Proteins	O75436	UniProt:O75436 VPS26A	
Proteins	Q9UBQ0	UniProt:Q9UBQ0 VPS29	
Proteins	Q96QK1	UniProt:Q96QK1 VPS35	
Proteins	O60493	UniProt:O60493 SNX3	
Proteins	Q9Y3A6	UniProt:Q9Y3A6 TMED5	
